n: 100  sum: 975002490    Zeit: 0
n: 200  sum: 31600009980    Zeit: 0.000497
n: 300  sum: 240975022470    Zeit: 0.00149
n: 400  sum: 1017600039960    Zeit: 0.003974
n: 500  sum: 3109375062450    Zeit: 0.007946
n: 600  sum: 7743600089940    Zeit: 0.01341
n: 700  sum: 16746975122430    Zeit: 0.021849
n: 800  sum: 32665600159920    Zeit: 0.032283
n: 900  sum: 58884975202410    Zeit: 0.045197
n: 1000  sum: 99750000249900    Zeit: 0.063076
n: 1100  sum: 160684975302390    Zeit: 0.083937
n: 1200  sum: 248313600359880    Zeit: 0.10728
n: 1300  sum: 370578975422370    Zeit: 0.145028
n: 1400  sum: 536863600489860    Zeit: 0.17135
n: 1500  sum: 758109375562350    Zeit: 0.212077
n: 1600  sum: 1046937600639840    Zeit: 0.265219
n: 1700  sum: 1417768975722330    Zeit: 0.312404
n: 1800  sum: 1886943600809820    Zeit: 0.368526
n: 1900  sum: 2472840975902310    Zeit: 0.434086
n: 2000  sum: 3196000000999800    Zeit: 0.508586
n: 2100  sum: 4079238976102290    Zeit: 0.590536
n: 2200  sum: 5147775601209780    Zeit: 0.672983
n: 2300  sum: 6429346976322270    Zeit: 0.771322
n: 2400  sum: 7954329601439760    Zeit: 0.871202
n: 2500  sum: 9755859376562250    Zeit: 0.981413
n: 2600  sum: 11869951601689740    Zeit: 1.10414
n: 2700  sum: 14335620976822230    Zeit: 1.22478
n: 2800  sum: 17195001601959720    Zeit: 1.37587
n: 2900  sum: 20493466977102210    Zeit: 1.51881
n: 3000  sum: 24279750002249700    Zeit: 1.69065
n: 3100  sum: 28606062977402190    Zeit: 1.86156
n: 3200  sum: 33528217602559680    Zeit: 2.06464
n: 3300  sum: 39105744977722170    Zeit: 2.23947
n: 3400  sum: 45402015602889660    Zeit: 2.45999
n: 3500  sum: 52484359378062150    Zeit: 2.67902
n: 3600  sum: 60424185603239640    Zeit: 2.92049
n: 3700  sum: 69297102978422130    Zeit: 3.16485
n: 3800  sum: 79183039603609620    Zeit: 3.43693
n: 3900  sum: 90166362978802110    Zeit: 3.71506
n: 4000  sum: 102336000003999600    Zeit: 3.98724
n: 4100  sum: 115785556979202090    Zeit: 4.33395
n: 4200  sum: 130613439604409580    Zeit: 4.64185
n: 4300  sum: 146922972979622070    Zeit: 4.98708
n: 4400  sum: 164822521604839560    Zeit: 5.32911
n: 4500  sum: 184425609380062050    Zeit: 5.71191
n: 4600  sum: 205851039605289540    Zeit: 6.07443
n: 4700  sum: 229223014980522030    Zeit: 6.50279
n: 4800  sum: 254671257605759520    Zeit: 6.92254
n: 4900  sum: 282331128981002010    Zeit: 7.35858
n: 5000  sum: 312343750006249500    Zeit: 7.82746
n: 5100  sum: 344856120981501990    Zeit: 8.30289
